id,category,kingdom,rule
1,Herbaceous Plants with Showy Flowers,Plantae ,Life Form / Morphology
2,Woody Plants with Showy Flowers,Plantae,Life Form / Morphology
3,Herbaceous Plants (Foliage or Inconspicuous Flowers),Plantae,Life Form / Morphology
4,Woody Plants (Foliage or Inconspicuous Flowers),Plantae,Life Form / Morphology
5,Ferns/Mosses,Plantae,Life Form / Morphology
6,Other plants,Plantae,Life Form / Morphology
7,Birds,Animalia,Phylogenetics / Taxonomy
8,Reptiles,Animalia,Phylogenetics / Taxonomy
9,Mammals,Animalia,Phylogenetics / Taxonomy
10,Amphibians,Animalia,Phylogenetics / Taxonomy
11,Fish,Animalia,Phylogenetics / Taxonomy
11,Fish,Animalia,Phylogenetics / Taxonomy
11,Fish,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
12,Inverts,Animalia,Phylogenetics / Taxonomy
13,Fungi,Fungi,Phylogenetics / Taxonomy
