image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
1,1天津市蓟州区盘山_110296_1.jpg,stone wall with calligraphy,[],sky; stone wall; barrier,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.45}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""stone wall with calligraphy"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""sky"",
        ""stone wall"",
        ""barrier""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.45
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
2,1天津市蓟州区盘山_110296_2.jpg,temple courtyard,[],roof; trees; stairs; stone wall,visiting; walking,unknown,[],visiting,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.5}]",[],"[{""activity"": ""visiting"", ""count_estimate"": ""3"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""temple courtyard"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""roof"",
        ""trees"",
        ""stairs"",
        ""stone wall""
      ],
      ""human_activities_in_image"": [
        ""visiting"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""visiting"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.9
        }
      ]
    }
  ]
}",True,
3,1天津市蓟州区盘山_110296_3.jpg,Mountain view with pagoda,Pinus species,mountain; pagoda; sky; trees; rock,[],Pinus,[],[],"[{""scientific_name"": ""Pinus"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain view with pagoda"",
      ""visible_species_in_image"": [
        ""Pinus species""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""pagoda"",
        ""sky"",
        ""trees"",
        ""rock""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
4,1天津市蓟州区盘山_110296_4.jpg,Cable car on mountain,[],mountains; trees; sky; cables,riding cable car,[],[],riding cable car,[],[],"[{""activity"": ""riding cable car"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Cable car on mountain"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""trees"",
        ""sky"",
        ""cables""
      ],
      ""human_activities_in_image"": [
        ""riding cable car""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding cable car"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
5,1天津市蓟州区盘山_110296_5.jpg,stone wall with calligraphy,[],stone wall; sky; flags,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""stone wall with calligraphy"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stone wall"",
        ""sky"",
        ""flags""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
6,1天津市蓟州区盘山_110296_6.jpg,temple entrance,[],roof; trees; stone pillars,visiting; walking,unknown,[],walking,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.65}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""temple entrance"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""roof"",
        ""trees"",
        ""stone pillars""
      ],
      ""human_activities_in_image"": [
        ""visiting"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
7,1天津市蓟州区盘山_110296_7.jpg,Mountain tower view,Pinus; Prunus,mountain; tower; sky; rocks; trees,[],Pinus; Prunus,[],[],"[{""scientific_name"": ""Pinus"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}, {""scientific_name"": ""Prunus"", ""count_estimate"": ""several"", ""confidence"": 0.72}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain tower view"",
      ""visible_species_in_image"": [
        ""Pinus"",
        ""Prunus""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""tower"",
        ""sky"",
        ""rocks"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""Prunus"",
          ""count_estimate"": ""several"",
          ""confidence"": 0.72
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
8,1天津市蓟州区盘山_110296_8.jpg,Cable cars in mountains,[],mountains; sky; trees,riding cable car,[],[],riding cable car,[],[],"[{""activity"": ""riding cable car"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Cable cars in mountains"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""riding cable car""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding cable car"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
9,1天津市蓟州区盘山_110336_1.jpg,Mountain tower view,Pinus,mountain; tower; sky; rock,[],Pinus,[],[],"[{""scientific_name"": ""Pinus"", ""count_estimate"": ""1"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain tower view"",
      ""visible_species_in_image"": [
        ""Pinus""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""tower"",
        ""sky"",
        ""rock""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
10,1天津市蓟州区盘山_110336_2.jpg,Temple on rocky mountain,[],mountain; rocky cliff; trees; sky,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.5}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Temple on rocky mountain"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountain"",
        ""rocky cliff"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
11,1天津市蓟州区盘山_110336_3.jpg,Mountain landscape,Pinus,mountain; forest; sky; rocks,[],Pinus sp.,[],[],"[{""scientific_name"": ""Pinus sp."", ""count_estimate"": ""multiple"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain landscape"",
      ""visible_species_in_image"": [
        ""Pinus""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""forest"",
        ""sky"",
        ""rocks""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus sp."",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
12,1天津市蓟州区盘山_110336_4.jpg,cable cars on mountains,[],mountains; forest; sky; cables,riding cable cars,[],[],riding cable cars,[],[],"[{""activity"": ""riding cable cars"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""cable cars on mountains"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""forest"",
        ""sky"",
        ""cables""
      ],
      ""human_activities_in_image"": [
        ""riding cable cars""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding cable cars"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
13,1天津市蓟州区盘山_110336_5.jpg,lush green mountains,[],mountains; forest; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""lush green mountains"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""forest"",
        ""sky""
      ],
      ""human_activities_in_image"": []
    }
  ]
}",True,
14,1天津市蓟州区盘山_110336_6.jpg,ancient stone pagoda,Pinus tabulaeformis,sky; stone tower; tree branch,[],Pinus tabulaeformis,[],[],"[{""scientific_name"": ""Pinus tabulaeformis"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""ancient stone pagoda"",
      ""visible_species_in_image"": [
        ""Pinus tabulaeformis""
      ],
      ""landscape_elements"": [
        ""sky"",
        ""stone tower"",
        ""tree branch""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabulaeformis"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
15,1天津市蓟州区盘山_110336_7.jpg,Mountainous landscape,[],mountains; forest; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountainous landscape"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""forest"",
        ""sky""
      ],
      ""human_activities_in_image"": []
    }
  ]
}",True,
16,1天津市蓟州区盘山_110336_8.jpg,rocky stream in woods,[],stream; rocks; trees; forest,hiking; walking,[],[],hiking,[],[],"[{""activity"": ""hiking"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""rocky stream in woods"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stream"",
        ""rocks"",
        ""trees"",
        ""forest""
      ],
      ""human_activities_in_image"": [
        ""hiking"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""hiking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
17,1天津市蓟州区盘山_110336_9.jpg,waterfall landscape,[],rock waterfall; pool; trees; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""waterfall landscape"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rock waterfall"",
        ""pool"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
18,1天津市蓟州区盘山_113779_1.jpg,tall tree against blue sky,[],tree; sky; trees,[],Quercus,[],[],"[{""scientific_name"": ""Quercus"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""tall tree against blue sky"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""tree"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Quercus"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
19,1天津市蓟州区盘山_113779_2.jpg,Mountain landscape,Quercus variabilis,mountain; sky; trees,[],Quercus variabilis,[],[],"[{""scientific_name"": ""Quercus variabilis"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain landscape"",
      ""visible_species_in_image"": [
        ""Quercus variabilis""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Quercus variabilis"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
20,1天津市蓟州区盘山_113779_3.jpg,Mountain landscape,[],mountains; sky; trees,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain landscape"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
21,1天津市蓟州区盘山_113779_4.jpg,red building wall,Juniperus,building; sky; trees,[],Juniperus,[],[],"[{""scientific_name"": ""Juniperus"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""red building wall"",
      ""visible_species_in_image"": [
        ""Juniperus""
      ],
      ""landscape_elements"": [
        ""building"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Juniperus"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
22,1天津市蓟州区盘山_113779_5.jpg,rocky hillside,[],hill; rocks; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""rocky hillside"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""hill"",
        ""rocks"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
