image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
1,10深圳市福田区红树林海滨生态公园_288175_3.jpg,park path scene,Canna lily; Mango tree,paved path; grass lawn; trees; lake; sky,cycling; walking,Canna indica; Mangifera indica,[],cycling; walking,"[{""scientific_name"": ""Canna indica"", ""count_estimate"": ""many"", ""confidence"": 0.85}, {""scientific_name"": ""Mangifera indica"", ""count_estimate"": ""multiple"", ""confidence"": 0.72}]",[],"[{""activity"": ""cycling"", ""count_estimate"": ""1"", ""confidence"": 0.92}, {""activity"": ""walking"", ""count_estimate"": ""3"", ""confidence"": 0.88}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""park path scene"",
      ""visible_species_in_image"": [
        ""Canna lily"",
        ""Mango tree""
      ],
      ""landscape_elements"": [
        ""paved path"",
        ""grass lawn"",
        ""trees"",
        ""lake"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""cycling"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Canna indica"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""Mangifera indica"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.72
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""cycling"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.92
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.88
        }
      ]
    }
  ]
}",True,
2,11深圳市宝安区凤凰山_大元脸葡萄_9.jpg,Hikers on rocky peak,[],rocky cliff; overcast sky,hiking; standing,unknown,[],hiking,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""several"", ""confidence"": 0.6}]",[],"[{""activity"": ""hiking"", ""count_estimate"": ""5"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Hikers on rocky peak"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rocky cliff"",
        ""overcast sky""
      ],
      ""human_activities_in_image"": [
        ""hiking"",
        ""standing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""several"",
          ""confidence"": 0.6
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""hiking"",
          ""count_estimate"": ""5"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
3,11深圳市宝安区凤凰山_小娃撑游艇_14.jpg,group hiking stream,[],stream; rocks; forest,hiking; wading,unknown,[],hiking; wading,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.45}]",[],"[{""activity"": ""hiking"", ""count_estimate"": ""6"", ""confidence"": 0.92}, {""activity"": ""wading"", ""count_estimate"": ""1"", ""confidence"": 0.88}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""group hiking stream"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stream"",
        ""rocks"",
        ""forest""
      ],
      ""human_activities_in_image"": [
        ""hiking"",
        ""wading""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.45
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""hiking"",
          ""count_estimate"": ""6"",
          ""confidence"": 0.92
        },
        {
          ""activity"": ""wading"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.88
        }
      ]
    }
  ]
}",True,
4,14深圳市大鹏新区大鹏半岛地质公园公园_XXRonnie_1.jpg,Rainy day visitors,[],paved plaza; stone steps; trees; building; mountains; clouds,walking; holding umbrellas; visiting,unknown,[],walking with umbrellas,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.65}]",[],"[{""activity"": ""walking with umbrellas"", ""count_estimate"": ""10"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Rainy day visitors"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved plaza"",
        ""stone steps"",
        ""trees"",
        ""building"",
        ""mountains"",
        ""clouds""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""holding umbrellas"",
        ""visiting""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking with umbrellas"",
          ""count_estimate"": ""10"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
5,16深圳市南山区华侨城国家湿地公园_M62389_2.jpg,child viewing with binoculars,[],deck; trees; sky,viewing through telescope,[],[],using telescope,[],[],"[{""activity"": ""using telescope"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child viewing with binoculars"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""deck"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""viewing through telescope""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""using telescope"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
6,17深圳市龙华区阳台山森林公园_Vivian小丸子_4.jpg,Woman posing on path,[],path; trees; mountains; sky,posing; walking,[],[],posing; walking,[],[],"[{""activity"": ""posing"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""walking"", ""count_estimate"": ""2"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Woman posing on path"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""path"",
        ""trees"",
        ""mountains"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""posing"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
7,17深圳市龙华区阳台山森林公园_吃饭了没上市_3.jpg,Monument in park,[],mountains; trees; lawn; paved path; statue,standing; walking,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Monument in park"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""trees"",
        ""lawn"",
        ""paved path"",
        ""statue""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
8,17深圳市龙华区阳台山森林公园_扶疏子_10.jpg,statue on bench,[],tree trunk; wooden bench; paved path; green foliage,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.65}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""statue on bench"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""tree trunk"",
        ""wooden bench"",
        ""paved path"",
        ""green foliage""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
9,18深圳市龙岗区园山风景区_李邵平_3.jpg,hikers in forest,[],forest path; trees; foliage,walking; hiking,unknown,[],walking,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.5}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""hikers in forest"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""forest path"",
        ""trees"",
        ""foliage""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""hiking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
10,18深圳市龙岗区园山风景区_真诚7577_2.jpg,people swimming at waterfall,[],waterfall; river; rock; trees,swimming; standing in water; climbing rock,[],[],swimming; standing in water; climbing rock,[],[],"[{""activity"": ""swimming"", ""count_estimate"": ""3"", ""confidence"": 0.95}, {""activity"": ""standing in water"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""climbing rock"", ""count_estimate"": ""1"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""people swimming at waterfall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""waterfall"",
        ""river"",
        ""rock"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""swimming"",
        ""standing in water"",
        ""climbing rock""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""swimming"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""standing in water"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""climbing rock"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
