source_row,用户名,emotions,influence_of_emotions,text_species_mentions,feeling_correlated_to_text_species,text_activities_or_facilities,feeling_correlated_to_text_activities_or_facilities,comment_sentiment_score_0_to_1,raw_response,parse_ok,error
1,1天津市蓟州区盘山_Winnie0222,Excitement; Contentment; Amusement,"Discounts, Scenic Views, Affordable Food",[],[],Climbing; Viewing; Staying at民宿; Eating,Climbing - Refreshing; Viewing - Inspiring; 民宿 - Relaxing; Eating - Affordable,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Excitement"", ""Contentment"", ""Amusement""],
    ""influence_of_emotions"": ""Discounts, Scenic Views, Affordable Food"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Climbing"", ""Viewing"", ""Staying at民宿"", ""Eating""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing - Refreshing"", ""Viewing - Inspiring"", ""民宿 - Relaxing"", ""Eating - Affordable""],
    ""comment_sentiment"": {""score_0_to_1"": 0.85}
  }
}",True,
2,1天津市蓟州区盘山_不可触碰撞的鱼,Awe; Wonder; Pride,architectural beauty,[],[],small stage; imperial opera performance; resting area; cloud-viewing pavilion,small stage - historic charm; imperial opera performance - cultural richness; resting area - serene; cloud-viewing pavilion - ethereal beauty,0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Awe"", ""Wonder"", ""Pride""],
    ""influence_of_emotions"": ""architectural beauty"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""small stage"", ""imperial opera performance"", ""resting area"", ""cloud-viewing pavilion""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""small stage - historic charm"", ""imperial opera performance - cultural richness"", ""resting area - serene"", ""cloud-viewing pavilion - ethereal beauty""],
    ""comment_sentiment"": {""score_0_to_1"": 0.90}
  }
}",True,
3,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,Artistic craftsmanship,[],[],[],[],0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Artistic craftsmanship"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.90
    }
  }
}",True,
4,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,Historical grandeur,[],[],[],[],0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
5,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
6,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,"Scenic views, cultural heritage, elevation",[],[],登山; 网红打卡景点; 石阶; 钟亭; 石刻; 定光佛舍利塔,登山 - Rewarding; 网红打卡景点 - Memorable; 石阶 - Steep; 钟亭 - Sacred; 石刻 - Historic; 定光佛舍利塔 - Serene,0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Scenic views, cultural heritage, elevation"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""登山"",
      ""网红打卡景点"",
      ""石阶"",
      ""钟亭"",
      ""石刻"",
      ""定光佛舍利塔""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""登山 - Rewarding"",
      ""网红打卡景点 - Memorable"",
      ""石阶 - Steep"",
      ""钟亭 - Sacred"",
      ""石刻 - Historic"",
      ""定光佛舍利塔 - Serene""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.90
    }
  }
}",True,
7,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
8,1天津市蓟州区盘山_Mjr1022,Contentment; Pride; Excitement,"Scenic beauty, value, family trip",[],[],cloud pine cable car; sitting cable car; hiking; photography; visiting temples; riding shuttle bus; staying at farmhouses; buying tickets,cloud pine cable car - cozy; hiking - refreshing; photography - enjoyable; visiting temples - meaningful; shuttle bus - efficient; farmhouses - economical; tickets - cost-saving,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Pride"", ""Excitement""],
    ""influence_of_emotions"": ""Scenic beauty, value, family trip"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""cloud pine cable car"",
      ""sitting cable car"",
      ""hiking"",
      ""photography"",
      ""visiting temples"",
      ""riding shuttle bus"",
      ""staying at farmhouses"",
      ""buying tickets""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""cloud pine cable car - cozy"",
      ""hiking - refreshing"",
      ""photography - enjoyable"",
      ""visiting temples - meaningful"",
      ""shuttle bus - efficient"",
      ""farmhouses - economical"",
      ""tickets - cost-saving""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
9,1天津市蓟州区盘山_爱旅游的大白鲸,Pride; Contentment; Excitement,Achieving goal,[],[],hiking; cable car; rest area; water fountain; forest trail; mountain peak; resting spots; water selling station; temple; sloping stairs,hiking - challenging; cable car - convenient; rest area - relaxing; water fountain - refreshing; forest trail - peaceful; mountain peak - rewarding; resting spots - comfortable; water selling station - pricey; temple - spiritual; sloping stairs - strenuous,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Pride"", ""Contentment"", ""Excitement""],
    ""influence_of_emotions"": ""Achieving goal"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""hiking"", ""cable car"", ""rest area"", ""water fountain"", ""forest trail"", ""mountain peak"", ""resting spots"", ""water selling station"", ""temple"", ""sloping stairs""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""hiking - challenging"", ""cable car - convenient"", ""rest area - relaxing"", ""water fountain - refreshing"", ""forest trail - peaceful"", ""mountain peak - rewarding"", ""resting spots - comfortable"", ""water selling station - pricey"", ""temple - spiritual"", ""sloping stairs - strenuous""],
    ""comment_sentiment"": {""score_0_to_1"": 0.85}
  }
}",True,
10,1天津市蓟州区盘山_老玩童,Admiration; Contentment; Pride,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
