source_row,用户名,emotions,influence_of_emotions,text_species_mentions,feeling_correlated_to_text_species,text_activities_or_facilities,feeling_correlated_to_text_activities_or_facilities,comment_sentiment_score_0_to_1,raw_response,parse_ok,error
1,1天津市蓟州区盘山_Winnie0222,Excitement; Contentment; Amusement,Discounted tickets,[],[],climbing; viewing scenery; checking in spots; staying at homestays; dining,climbing - relaxing; viewing scenery - broadening perspective; checking in spots - good for photos; staying at homestays - convenient; dining - affordable,0.85,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Excitement"",
      ""Contentment"",
      ""Amusement""
    ],
    ""influence_of_emotions"": ""Discounted tickets"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""climbing"",
      ""viewing scenery"",
      ""checking in spots"",
      ""staying at homestays"",
      ""dining""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""climbing - relaxing"",
      ""viewing scenery - broadening perspective"",
      ""checking in spots - good for photos"",
      ""staying at homestays - convenient"",
      ""dining - affordable""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
2,1天津市蓟州区盘山_不可触碰撞的鱼,Awe; Wonder; Appreciation,Scenic beauty,[],[],Hiking; Climbing steps; Wu Yun Tower; Small theater ruins; Performing arts,Wu Yun Tower - Awe; Small theater ruins - Historical interest; Performing arts - Cultural appreciation,0.95,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Awe"",
      ""Wonder"",
      ""Appreciation""
    ],
    ""influence_of_emotions"": ""Scenic beauty"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""Hiking"",
      ""Climbing steps"",
      ""Wu Yun Tower"",
      ""Small theater ruins"",
      ""Performing arts""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""Wu Yun Tower - Awe"",
      ""Small theater ruins - Historical interest"",
      ""Performing arts - Cultural appreciation""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
3,1天津市蓟州区盘山_不可触碰撞的鱼,Appreciation; Contentment; Awe,Artistic craftsmanship,[],[],sculptures; relief carvings; mountain paths; forest areas; rocks; pines; tourism viewing,sculptures - admiration; relief carvings - vividness; mountain paths - distribution; forest areas - harmony; rocks - complementary beauty; pines - scenic contrast; tourism viewing - enjoyment,0.92,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Appreciation"",
      ""Contentment"",
      ""Awe""
    ],
    ""influence_of_emotions"": ""Artistic craftsmanship"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""sculptures"",
      ""relief carvings"",
      ""mountain paths"",
      ""forest areas"",
      ""rocks"",
      ""pines"",
      ""tourism viewing""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""sculptures - admiration"",
      ""relief carvings - vividness"",
      ""mountain paths - distribution"",
      ""forest areas - harmony"",
      ""rocks - complementary beauty"",
      ""pines - scenic contrast"",
      ""tourism viewing - enjoyment""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.92
    }
  }
}",True,
4,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Awe; Contentment,Historical grandeur,Ginkgo biloba,Ginkgo biloba - Ancient majesty,Temple visit; Tourism; Religious pilgrimage; Cultural heritage viewing; Poetry appreciation,Temple visit - Spiritual reverence; Tourism - Aesthetic delight; Religious pilgrimage - Devotional peace; Cultural heritage viewing - Historical awe; Poetry appreciation - Cultural pride,0.95,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Admiration"",
      ""Awe"",
      ""Contentment""
    ],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [
      ""Ginkgo biloba""
    ],
    ""feeling_correlated_to_text_species"": [
      ""Ginkgo biloba - Ancient majesty""
    ],
    ""text_activities_or_facilities"": [
      ""Temple visit"",
      ""Tourism"",
      ""Religious pilgrimage"",
      ""Cultural heritage viewing"",
      ""Poetry appreciation""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""Temple visit - Spiritual reverence"",
      ""Tourism - Aesthetic delight"",
      ""Religious pilgrimage - Devotional peace"",
      ""Cultural heritage viewing - Historical awe"",
      ""Poetry appreciation - Cultural pride""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
5,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Awe,Historical grandeur,[],[],visiting temple; cable car ride; stone inscriptions; statues; monastery complex,visiting temple - Awe; cable car ride - Scenic view; stone inscriptions - Historical pride; statues - Reverence; monastery complex - Grandeur,0.85,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Admiration"",
      ""Contentment"",
      ""Awe""
    ],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""visiting temple"",
      ""cable car ride"",
      ""stone inscriptions"",
      ""statues"",
      ""monastery complex""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""visiting temple - Awe"",
      ""cable car ride - Scenic view"",
      ""stone inscriptions - Historical pride"",
      ""statues - Reverence"",
      ""monastery complex - Grandeur""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
6,1天津市蓟州区盘山_不可触碰撞的鱼,Awe; Gratitude; Contentment,Spiritual atmosphere,[],[],Cable car ride; Temple visit; Hiking; Prayer plaques; Bell pavilion; Stone stele; Buddhist stupa,Cable car ride - Wonder; Temple visit - Serenity; Hiking - Challenge; Prayer plaques - Devotion; Bell pavilion - Reverence; Stone stele - History; Buddhist stupa - Peace,0.95,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Awe"",
      ""Gratitude"",
      ""Contentment""
    ],
    ""influence_of_emotions"": ""Spiritual atmosphere"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""Cable car ride"",
      ""Temple visit"",
      ""Hiking"",
      ""Prayer plaques"",
      ""Bell pavilion"",
      ""Stone stele"",
      ""Buddhist stupa""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""Cable car ride - Wonder"",
      ""Temple visit - Serenity"",
      ""Hiking - Challenge"",
      ""Prayer plaques - Devotion"",
      ""Bell pavilion - Reverence"",
      ""Stone stele - History"",
      ""Buddhist stupa - Peace""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
7,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Pride; Contentment,Historical grandeur,[],[],visiting temples; building pagodas; gardens; mountain climbing; writing poems; inscribing stones; carving inscriptions,visiting temples - awe; building pagodas - reverence; gardens - appreciation; mountain climbing - admiration; writing poems - inspiration; inscribing stones - legacy; carving inscriptions - preservation,0.95,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Admiration"",
      ""Pride"",
      ""Contentment""
    ],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""visiting temples"",
      ""building pagodas"",
      ""gardens"",
      ""mountain climbing"",
      ""writing poems"",
      ""inscribing stones"",
      ""carving inscriptions""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""visiting temples - awe"",
      ""building pagodas - reverence"",
      ""gardens - appreciation"",
      ""mountain climbing - admiration"",
      ""writing poems - inspiration"",
      ""inscribing stones - legacy"",
      ""carving inscriptions - preservation""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
8,1天津市蓟州区盘山_Mjr1022,Pride; Satisfaction; Contentment,Scenic beauty,[],[],climbing mountain; cloud pine cable car; small South Heaven Gate; main peak; back mountain route; Mercedes-Benz business car; farmhouse stays,climbing mountain - enjoyable; cloud pine cable car - crowded; small South Heaven Gate - impressive; main peak - historic; back mountain route - recommended for elderly; Mercedes-Benz business car - convenient; farmhouse stays - cost saving,0.85,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Pride"",
      ""Satisfaction"",
      ""Contentment""
    ],
    ""influence_of_emotions"": ""Scenic beauty"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""climbing mountain"",
      ""cloud pine cable car"",
      ""small South Heaven Gate"",
      ""main peak"",
      ""back mountain route"",
      ""Mercedes-Benz business car"",
      ""farmhouse stays""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""climbing mountain - enjoyable"",
      ""cloud pine cable car - crowded"",
      ""small South Heaven Gate - impressive"",
      ""main peak - historic"",
      ""back mountain route - recommended for elderly"",
      ""Mercedes-Benz business car - convenient"",
      ""farmhouse stays - cost saving""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
9,1天津市蓟州区盘山_爱旅游的大白鲸,Pride; Contentment; Relaxation,Reaching summit,Pinus,Pinus - Peaceful sounds,Hiking; Climbing stairs; Resting; Ski lift; Fountains; Rock formations; Temple; Parking lot; Toilet; Walking,Hiking - Cool shade; Climbing stairs - Challenging; Resting - Convenient break; Ski lift - Efficient transport; Fountains - Playful for kids; Rock formations - Scenic views; Temple - Spiritual stop; Parking lot - Start point; Toilet - Necessary facility; Walking - Accompanied by pine waves,0.85,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Pride"",
      ""Contentment"",
      ""Relaxation""
    ],
    ""influence_of_emotions"": ""Reaching summit"",
    ""text_species_mentions"": [
      ""Pinus""
    ],
    ""feeling_correlated_to_text_species"": [
      ""Pinus - Peaceful sounds""
    ],
    ""text_activities_or_facilities"": [
      ""Hiking"",
      ""Climbing stairs"",
      ""Resting"",
      ""Ski lift"",
      ""Fountains"",
      ""Rock formations"",
      ""Temple"",
      ""Parking lot"",
      ""Toilet"",
      ""Walking""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""Hiking - Cool shade"",
      ""Climbing stairs - Challenging"",
      ""Resting - Convenient break"",
      ""Ski lift - Efficient transport"",
      ""Fountains - Playful for kids"",
      ""Rock formations - Scenic views"",
      ""Temple - Spiritual stop"",
      ""Parking lot - Start point"",
      ""Toilet - Necessary facility"",
      ""Walking - Accompanied by pine waves""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
10,1天津市蓟州区盘山_老玩童,Admiration; Pride,Historical grandeur,[],[],mountain climbing; tourism; leisure,mountain climbing - reverence; tourism - appreciation; leisure - enjoyment,0.85,"{
  ""text_analysis"": {
    ""emotions"": [
      ""Admiration"",
      ""Pride""
    ],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""mountain climbing"",
      ""tourism"",
      ""leisure""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""mountain climbing - reverence"",
      ""tourism - appreciation"",
      ""leisure - enjoyment""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
