source_row,用户名,emotions,influence_of_emotions,text_species_mentions,feeling_correlated_to_text_species,text_activities_or_facilities,feeling_correlated_to_text_activities_or_facilities,comment_sentiment_score_0_to_1,raw_response,parse_ok,error
1,1天津市蓟州区盘山_Winnie0222,Excitement; Contentment; Amusement,"Discounts, Views, Convenience",[],[],Hiking; Scenic viewing; Staying at民宿; Eating,Hiking - Refreshing; Scenic viewing - Inspiring; Staying at民宿 - Relaxing; Eating - Affordable,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Excitement"", ""Contentment"", ""Amusement""],
    ""influence_of_emotions"": ""Discounts, Views, Convenience"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Hiking"", ""Scenic viewing"", ""Staying at民宿"", ""Eating""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Hiking - Refreshing"", ""Scenic viewing - Inspiring"", ""Staying at民宿 - Relaxing"", ""Eating - Affordable""],
    ""comment_sentiment"": {""score_0_to_1"": 0.85}
  }
}",True,
2,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Wonder; Contentment,"Natural beauty, architectural grandeur, historical context",[],[],small stage; imperial theater; resting and viewing; performances by imperial troupe,small stage - nostalgic charm; imperial theater - historical reverence; resting and viewing - serene enjoyment; performances by imperial troupe - cultural wonder,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Wonder"", ""Contentment""],
    ""influence_of_emotions"": ""Natural beauty, architectural grandeur, historical context"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""small stage"",
      ""imperial theater"",
      ""resting and viewing"",
      ""performances by imperial troupe""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""small stage - nostalgic charm"",
      ""imperial theater - historical reverence"",
      ""resting and viewing - serene enjoyment"",
      ""performances by imperial troupe - cultural wonder""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
3,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Relaxation,"Artistic craftsmanship, natural setting, cultural immersion",[],[],[],[],0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Relaxation""],
    ""influence_of_emotions"": ""Artistic craftsmanship, natural setting, cultural immersion"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.90
    }
  }
}",True,
4,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,Historical grandeur,[],[],[],[],0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
5,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
6,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Contentment; Pride,Natural beauty,[],[],cloud-covered peaks; stone steps; clock pavilion; stone inscription; Buddhist stupa; red prayer plaques; mountain trail,clock pavilion - awe-inspiring; stone inscription - historic pride; Buddhist stupa - spiritual calm; red prayer plaques - communal devotion; mountain trail - adventurous delight,0.92,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Natural beauty"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""cloud-covered peaks"",
      ""stone steps"",
      ""clock pavilion"",
      ""stone inscription"",
      ""Buddhist stupa"",
      ""red prayer plaques"",
      ""mountain trail""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""clock pavilion - awe-inspiring"",
      ""stone inscription - historic pride"",
      ""Buddhist stupa - spiritual calm"",
      ""red prayer plaques - communal devotion"",
      ""mountain trail - adventurous delight""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.92
    }
  }
}",True,
7,1天津市蓟州区盘山_不可触碰撞的鱼,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
8,1天津市蓟州区盘山_Mjr1022,Contentment; Excitement; Gratitude,"Scenic views, affordable tickets, family bonding",[],[],cloud pine cable car; hanging moon cable car; mercedes van; nanshan gate; self-flow peak; hanging moon peak; Dingguang Buddha relic stupa; farmhouses,cloud pine cable car - cozy but cramped; hanging moon cable car - quick and scenic; mercedes van - comfortable ride; nanshan gate - historic charm; self-flow peak - peaceful bell sound; hanging moon peak - spiritual view; Dingguang Buddha relic stupa - sacred presence; farmhouses - cost-saving stay,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Excitement"", ""Gratitude""],
    ""influence_of_emotions"": ""Scenic views, affordable tickets, family bonding"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""cloud pine cable car"",
      ""hanging moon cable car"",
      ""mercedes van"",
      ""nanshan gate"",
      ""self-flow peak"",
      ""hanging moon peak"",
      ""Dingguang Buddha relic stupa"",
      ""farmhouses""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""cloud pine cable car - cozy but cramped"",
      ""hanging moon cable car - quick and scenic"",
      ""mercedes van - comfortable ride"",
      ""nanshan gate - historic charm"",
      ""self-flow peak - peaceful bell sound"",
      ""hanging moon peak - spiritual view"",
      ""Dingguang Buddha relic stupa - sacred presence"",
      ""farmhouses - cost-saving stay""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
9,1天津市蓟州区盘山_爱旅游的大白鲸,Pride; Contentment; Excitement,Achieving goal,[],[],hiking; cable car; water features; stone scenery; rest areas; mountain peak; pine forest; water bottle refill; watermelon; rest stop; temple; parking lot,hiking - challenging; cable car - convenient; water features - playful; stone scenery - scenic; rest areas - relaxing; mountain peak - rewarding; pine forest - peaceful; water bottle refill - practical; watermelon - refreshing; rest stop - restful; temple - spiritual; parking lot - accessible,0.92,"{
  ""text_analysis"": {
    ""emotions"": [""Pride"", ""Contentment"", ""Excitement""],
    ""influence_of_emotions"": ""Achieving goal"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""hiking"",
      ""cable car"",
      ""water features"",
      ""stone scenery"",
      ""rest areas"",
      ""mountain peak"",
      ""pine forest"",
      ""water bottle refill"",
      ""watermelon"",
      ""rest stop"",
      ""temple"",
      ""parking lot""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""hiking - challenging"",
      ""cable car - convenient"",
      ""water features - playful"",
      ""stone scenery - scenic"",
      ""rest areas - relaxing"",
      ""mountain peak - rewarding"",
      ""pine forest - peaceful"",
      ""water bottle refill - practical"",
      ""watermelon - refreshing"",
      ""rest stop - restful"",
      ""temple - spiritual"",
      ""parking lot - accessible""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.92
    }
  }
}",True,
10,1天津市蓟州区盘山_老玩童,Admiration; Contentment; Pride,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Contentment"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
11,1天津市蓟州区盘山_小车迷,Contentment; Amusement; Relaxation,"Scenic views, physical effort, time constraints",[],[],cable car; hiking,cable car - crowded; hiking - physically demanding,0.65,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Amusement"", ""Relaxation""],
    ""influence_of_emotions"": ""Scenic views, physical effort, time constraints"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""cable car"", ""hiking""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""cable car - crowded"", ""hiking - physically demanding""],
    ""comment_sentiment"": {""score_0_to_1"": 0.65}
  }
}",True,
12,1天津市蓟州区盘山_张家老飞侠,Contentment; Appreciation; Excitement,"Scenic beauty, historical praise, convenient access",[],[],cable car; staying at farmhouse; touring the scenic area,cable car - convenient; farmhouse - relaxing; touring - enjoyable,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Appreciation"", ""Excitement""],
    ""influence_of_emotions"": ""Scenic beauty, historical praise, convenient access"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""cable car"", ""staying at farmhouse"", ""touring the scenic area""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""cable car - convenient"", ""farmhouse - relaxing"", ""touring - enjoyable""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
13,1天津市蓟州区盘山_叁剑飚血,Contentment; Gratitude; Pride,Practical advice sharing,[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Gratitude"", ""Pride""],
    ""influence_of_emotions"": ""Practical advice sharing"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
14,1天津市蓟州区盘山_旅行家系我,Relief; Excitement; Gratitude,Unexpected delay,[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Relief"", ""Excitement"", ""Gratitude""],
    ""influence_of_emotions"": ""Unexpected delay"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
15,1天津市蓟州区盘山_水晶石水晶石,Contentment; Relaxation; Appreciation,Natural scenery,[],[],walking; taking photos; riding cable car; riding eco bus; climbing; visiting temples; viewing waterfalls; viewing streams,peaceful; scenic; convenient; enjoyable; relaxing; educational; refreshing,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation"", ""Appreciation""],
    ""influence_of_emotions"": ""Natural scenery"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""walking"", ""taking photos"", ""riding cable car"", ""riding eco bus"", ""climbing"", ""visiting temples"", ""viewing waterfalls"", ""viewing streams""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""peaceful"", ""scenic"", ""convenient"", ""enjoyable"", ""relaxing"", ""educational"", ""refreshing""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
16,1天津市蓟州区盘山_把剑长歌,Contentment; Relaxation; Admiration,Natural beauty,Cardinalis cardinalis; Rosa spp.,Cardinalis cardinalis - Melodious,Climbing; Cable car,Climbing - Tiring; Cable car - Convenient,0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation"", ""Admiration""],
    ""influence_of_emotions"": ""Natural beauty"",
    ""text_species_mentions"": [""Cardinalis cardinalis"", ""Rosa spp.""],
    ""feeling_correlated_to_text_species"": [""Cardinalis cardinalis - Melodious""],
    ""text_activities_or_facilities"": [""Climbing"", ""Cable car""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing - Tiring"", ""Cable car - Convenient""],
    ""comment_sentiment"": {""score_0_to_1"": 0.75}
  }
}",True,
17,1天津市蓟州区盘山__CFT04873,Exhaustion; Gratitude; Warning,"Physical strain, local kindness, caution",[],[],walking; ascending; cable car; visiting temple; queueing; mountain climbing,walking - exhausting; ascending - tiring; cable car - long wait; visiting temple - rewarding; queueing - frustrating; mountain climbing - strenuous,0.55,"{
  ""text_analysis"": {
    ""emotions"": [""Exhaustion"", ""Gratitude"", ""Warning""],
    ""influence_of_emotions"": ""Physical strain, local kindness, caution"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""walking"", ""ascending"", ""cable car"", ""visiting temple"", ""queueing"", ""mountain climbing""],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""walking - exhausting"",
      ""ascending - tiring"",
      ""cable car - long wait"",
      ""visiting temple - rewarding"",
      ""queueing - frustrating"",
      ""mountain climbing - strenuous""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.55
    }
  }
}",True,
18,1天津市蓟州区盘山_水儿Doris,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
19,1天津市蓟州区盘山_海纳百川,Admiration; Pride; Contentment,Natural grandeur,[],[],[],[],0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Natural grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.90
    }
  }
}",True,
20,1天津市蓟州区盘山_海纳百川,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
21,1天津市蓟州区盘山_果汁分你一半,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
22,1天津市蓟州区盘山_绝对正经人,[],,[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
23,1天津市蓟州区盘山_老少皆宜程世荣,Contentment; Appreciation; Hope,"Historical beauty, coolness, quietness",[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Appreciation"", ""Hope""],
    ""influence_of_emotions"": ""Historical beauty, coolness, quietness"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
24,1天津市蓟州区盘山_果汁分你一半,[],,[],[],[],[],0.0,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.00
    }
  }
}",True,
25,1天津市蓟州区盘山_钱的女人,Contentment; Happiness; Gratitude,"Nature, Friends, Memories",[],[],Cloud Pine Cable Car; Hiking; Night View,Cloud Pine Cable Car - Recommended; Hiking - Enjoyable; Night View - Serene Beauty,0.92,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Happiness"", ""Gratitude""],
    ""influence_of_emotions"": ""Nature, Friends, Memories"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Cloud Pine Cable Car"", ""Hiking"", ""Night View""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Cloud Pine Cable Car - Recommended"", ""Hiking - Enjoyable"", ""Night View - Serene Beauty""],
    ""comment_sentiment"": {""score_0_to_1"": 0.92}
  }
}",True,
